Timestamp,NameGiven,NameFamily,Organization,Title,URL,Status
7/2/2019 0:07:06,Zachary,Seitz,University of Kansas Medical Center,Laboratory Technician,http://www.kumc.edu/,Myself
7/2/2019 14:41:09,Mark,Patterson,eLife,Executive Director,https://elifesciences.org,My Institution
7/2/2019 14:41:35,Jennifer,McLennan,eLife,Head of External Relations,https://elifesciences.org,Myself
7/2/2019 20:13:18,Jeroen,Sondervan,Utrecht University Library,Open Access Publishing Consultant,https://www.uu.nl,Myself
7/2/2019 21:29:41,Michael,Eisen,"UC Berkeley, HHMI, eLife","Professor (UCB), Investigator (HHMI), Editor in Chief (eLife)",http://www.michaeleisen.org,Myself
7/3/2019 12:37:52,Chris,Bourg,MIT,Director of Libraries,https://libraries.mit.edu,Myself
7/4/2019 9:28:21,Sizwe,Ngcobo,Pearson Institute of Higher Education,Resource Centre Manager (Bedfordview Campus),https://www.pearsoninstitute.ac.za/Campuses/Bedfordview.html,Myself
7/15/2019 14:03:52,Sharla,Lair,LYRASIS,"Strategist, Content & Scholarly Communication Initiatives",https://www.lyrasis.org/,Myself
7/18/2019 10:00:38,Lucy,Barnes,Open Book Publishers,Editor,https://www.openbookpublishers.com,Myself
7/22/2019 19:57:06,Manuel,Loyola,Ariadna Ediciones,Profesor Universitario,http://ariadnaediciones.cl/,My Institution
7/26/2019 13:09:08,Jeff,Moyer,Reveal Digital,Founder and Director,http://revealdigital.org/,My Institution
7/30/2019 18:13:39,Mary Lee,Kennedy,Association of Research Libraries,Executive Director ,https://www.arl.org/,My Institution
7/31/2019 9:12:13,Paul,Peters,Hindawi,CEO,https://www.hindawi.com/,My Institution
7/31/2019 9:30:23,Demmy,Verbeke,KU Leuven Libraries,Head Artes,https://bib.kuleuven.be/english,Myself
8/1/2019 15:52:57,Kaitlin,Newson,Scholars Portal,Digital Projects Librarian,https://scholarsportal.info/,Myself
8/2/2019 12:30:09,Nicky,Agate,Columbia University Libraries,"Assistant Director, Scholarly Communication and Projects",https://scholcomm.columbia.edu,Myself
8/7/2019 19:15:28,Georgia,Bullen,Simply Secure,Executive Director,https://simplysecure.org,Myself
8/8/2019 21:21:11,Jack,Park,TopicQuests Foundation,Co-founder/CEO,http://www.topicquests.org/,My Institution
8/9/2019 1:07:10,Joseph,Mwelwa,Joint Minds Consult,Senior Partner and Researcher,http://www.jointmindsconsult.com,My Institution
8/9/2019 16:01:25,Ginny,Boyer,Open Library Foundation,Managing Director,http://www.openlibraryfoundation.org,My Institution
8/18/2019 20:48:11,Daniel,O'Donnell,Force 11,President,http://force11.org,My Institution
8/22/2019 2:22:11,Jill,Sexton,NC State University Library,Associate Director for the Digital Library,https://www.lib.ncsu.edu/,Myself
9/27/2019 14:15:12,Lluis,Anglada,CSUC,Open Science Director,https://www.csuc.cat/en/open-science,Myself
9/30/2019 19:22:19,Sandy,De Groote,University of Illinois at Chicago,Scholarly Communication Librarian,https://library.uic.edu/,Myself
10/1/2019 21:59:28,Mary,Case,University of Illinois at Chicago,University Librarian and Dean of Libraries,https://library.uic.edu,My Institution
10/1/2019 22:00:37,Mary,Case,University of Illinois at Chicago,University Librarian and Dean of Libraries,https://library.uic.edu,Myself
10/7/2019 17:06:52,Steel,Wagstaff,Pressbooks,Educational Client Manager,https://pressbooks.org,Myself
10/10/2019 14:07:19,Martha,Kyrillidou,QualityMetrics LLC,Principal & CEO,http://qualitymetricsllc.com/,Myself
10/10/2019 14:07:32,Ann,Campion Riley,University of Missouri,Vice Provost for Libraries and University Librarian,http://library.missouri.edu,Myself
10/14/2019 20:11:38,Jeff,Kosokoff,Duke University,Assistant University Librarian for Collection Strategy,https://library.duke.edu/,Myself
10/22/2019 16:30:00,Andreas,Ferus,Academy of Fine Arts Vienna,"Interim Head Librarian, Open Access Officer",https://www.akbild.ac.at/,Myself
10/23/2019 7:36:40,Reme,Melero,CSIC,Researcher,http://www.csic.es,Myself
10/26/2019 9:21:53,Amanda,Lawrence,RMIT University,Research Associate,http://www.rmit.edu.au,Myself
10/30/2019 18:20:47,Pamela,Jacobs,University of Guelph,"Head, Collections & Content",https://www.lib.uoguelph.ca/,Myself
11/1/2019 10:48:40,Rebecca,Graham,University of Guelph,University Librarian,https://www.lib.uoguelph.ca,My Institution
